Período;Indústrias extrativas;Indústrias de transformação;Eletricidade e gás, água, esgoto, ativ. de gestão de resíduos;Construção;Total
1996.I;100,4;89,6;102,7;97,8;93,2
1996.II;99,9;96,1;101;101;97,9
1996.III;101,5;115,2;102,2;107,4;111,6
1996.IV;108;99,5;106,6;102,7;101,2
1997.I;97,1;91,9;105,3;98,7;95,3
1997.II;101,1;104,8;103,1;105,6;104,7
1997.III;110,2;109,8;105,8;114,4;110,8
1997.IV;111,6;103,4;109,4;111,7;106,7
1998.I;99,6;85,9;103,2;97,4;91,4
1998.II;101,1;98,6;99,7;102,8;100,1
1998.III;106,8;101,9;100,4;106,4;103,3
1998.IV;107;94,2;101,6;99,8;96,9
1999.I;95;86,4;99,9;90,4;89,4
1999.II;90,3;99,4;99,7;94,5;97,7
1999.III;96,8;103,8;100,3;99,1;101,8
1999.IV;100,5;102,9;102,3;96,5;100,7
2000.I;98,7;93,9;105,1;96,1;96
2000.II;100,5;106,7;102,6;100,5;104,3
2000.III;112,7;111,8;102,5;106,1;109,1
2000.IV;124,4;110,4;106,4;102,9;108,3
2001.I;98,6;93,1;101,9;98,1;95,7
2001.II;100;101,7;96,5;98,9;100,3
2001.III;108,6;105,6;84,8;99,6;101,8
2001.IV;114,4;102,4;86,1;96,8;99,7
2002.I;106,5;90,3;99,5;97,3;94,1
2002.II;114,6;101,7;105;103,4;103,3
2002.III;119,4;107,9;104,3;108,5;108,3
2002.IV;120,4;108,5;108,3;110;109,5
2003.I;95,1;86,1;104,8;92,1;90,7
2003.II;97,4;101,6;100,8;86,5;97,5
2003.III;106,2;113,9;103,3;91,1;106,3
2003.IV;119,6;109;106;94,5;105,9
2004.I;93;95,8;101,3;101,9;97,3
2004.II;96,9;106,8;106,3;107,6;106,1
2004.III;103,3;117,9;106,7;119,3;115,6
2004.IV;104,9;115,8;109,7;114,2;113,9
2005.I;95,2;91,8;101,8;94;93,7
2005.II;108,8;103,9;102,7;97,9;103,2
2005.III;110,8;107;102,8;100,2;105,7
2005.IV;112,4;106,2;105,2;99,5;105,5
2006.I;101,3;92;101,4;96,5;94,9
2006.II;103,3;98,7;102,2;96,6;99,3
2006.III;109,3;106,4;105,6;103,9;106,2
2006.IV;112,2;107,8;107,4;104,1;107,7
2007.I;99,6;93,7;103,3;101,8;96,9
2007.II;102,9;105,8;106,3;108,1;105,8
2007.III;104,4;113;106,2;114,5;111,4
2007.IV;104,6;112,1;108,7;112,4;110,8
2008.I;100,6;96,7;100,3;97,9;97,7
2008.II;105,1;106,1;101,1;102,8;104,9
2008.III;109,3;113,8;103,7;112,4;112
2008.IV;101,5;100;105,3;106,5;101,9
2009.I;91,2;77,8;95,5;92,8;83,7
2009.II;96,3;88,1;99,8;102,7;92,7
2009.III;101,2;97,8;101,6;114,7;101,4
2009.IV;102,8;99,3;106,2;117,9;103,4
2010.I;107,5;99,3;102,8;103,6;101,3
2010.II;113,8;108,8;106,3;113,3;109,9
2010.III;118,3;115,5;106,9;117,2;115,2
2010.IV;119,9;113,1;109,1;118,3;114,4
2011.I;97,6;95,5;101,1;99,5;97,2
2011.II;102,6;104;106,1;107,5;104,8
2011.III;105,8;107,7;106,7;113,3;108,7
2011.IV;107,9;101,8;108,6;112,7;105,7
2012.I;97,1;91,9;102,2;99,9;95,6
2012.II;96,8;95,7;99,5;101,1;97,5
2012.III;98,5;104;103,2;107,7;103,9
2012.IV;99,8;98,9;97,8;104;100,1
2013.I;90,7;94,1;98,5;98;94,9
2013.II;95,3;103,9;101;105,8;102,6
2013.III;99,7;110,3;102,4;110,2;107,7
2013.IV;101,5;103,8;104,6;104;103,5
2014.I;99,7;91,9;102;101,5;96,5
2014.II;106,2;93,1;95,9;98,3;96,8
2014.III;113,9;101,6;94,8;95,9;101,6
2014.IV;116,4;94,7;99,5;95,7;99
2015.I;103,2;90,5;98,8;93,7;93,9
2015.II;105,8;91,4;97;89,7;93,6
2015.III;109,7;96,1;99,4;91,4;97,3
2015.IV;104,1;88,1;103,2;89,2;92,1
2016.I;90,6;89,5;105,5;93,4;92,3
2016.II;96,1;95,4;107,5;90,4;95,5
2016.III;104,3;102,1;105,5;90,4;99,7
2016.IV;104,1;94;107,4;85,8;94,3
2017.I;100,2;94;103,2;91,3;94,8
2017.II;104,1;100,3;100,3;89;97,8
2017.III;108,7;110,1;99,1;90,8;104
2017.IV;106,7;104,8;101,2;91,9;101,4
2018.I;94,7;95,6;104,1;95,3;96,6
2018.II;100,5;99,9;103,4;95,2;99,4
2018.III;103,7;109,3;100,5;99,1;105,6
2018.IV;102,7;100,8;106,7;98,5;101,2
2019.I;85,1;93,1;105,7;96,4;94,4
2019.II;82,8;99,8;102,7;100,5;98,3
2019.III;97,4;105,7;99,5;107,1;104,1
2019.IV;98,1;99,7;102,4;103,6;100,6
2020.I;96,8;91,9;98,8;96,5;94,3
2020.II;97;79,2;99,7;90;86,3
2020.III;108,5;105,6;100,8;103,1;104,9
2020.IV;101;104,6;96,7;102,1;102,6
2021.I;93,7;101,6;102,1;103,6;101
2021.II;102,2;103,7;102,4;105,1;103,6
2021.III;110,7;109,6;99,1;116;109,4
2021.IV;105,2;103;100,3;115,3;105,1
2022.I;89,2;92,7;110,3;101,6;95,2
2022.II;95,6;99,7;111;105,4;100,9
2022.III;104,7;106,7;109,2;112,5;107,3
2022.IV;103,6;99,5;110;108,1;103
2023.I;97,7;92,1;106,5;96,5;95,5
2023.II;105,8;98,3;105,6;98,9;100,9
