periodo;Comércio;Transporte, armazenagem e correio;Informação e comunicação ;Atividades financeiras, de seguros e serviços relacionados;Atividades Imobiliárias;Outras atividades de serviços;Adm., defesa, saúde e educação públicas e seguridade social
1996.I;91,4;96,9;100,9;95,2;102,1;96,8;103
1996.II;100,5;103;103,6;92,4;102,9;98,5;105,4
1996.III;108,8;113,9;107,5;109,7;103;101,4;105,3
1996.IV;106,5;108,7;111,8;106,2;101,6;103,2;103,5
1997.I;93,9;92,7;99,7;96;101,1;97,7;99,5
1997.II;104,1;105,6;103,6;92,7;101,9;100,7;100,5
1997.III;110,4;112,5;104,2;109,8;102,2;104,1;100
1997.IV;107,1;113,7;113,6;114,8;104,8;108,7;99,8
1998.I;90,8;89,8;98,9;91;101,6;96;101
1998.II;100,7;101,1;99,5;88,3;102,4;100;103,4
1998.III;103,9;108,3;110,9;104,9;102,2;102,9;103,7
1998.IV;97,1;103,5;122,4;109,8;104,1;105,5;103,5
1999.I;90,2;87,4;108,8;92,9;102,7;96,5;102,1
1999.II;98,5;91,9;112,6;90,1;102,4;99,4;104,1
1999.III;101,2;100,3;110;106,8;101,8;102,5;103,8
1999.IV;101,2;104,4;120,7;111,3;102,4;106,4;103,2
2000.I;96;96,9;107,2;94,9;101;100;100,2
2000.II;102,1;105,2;114,1;91,7;102,5;101,7;102,1
2000.III;108,5;110,4;120;108,7;104,4;104,4;102,2
2000.IV;111,4;110,4;125,1;113,6;108,1;106,9;102,2
2001.I;96,7;92,1;101,6;92,9;101,7;95,3;101,6
2001.II;102,5;99,1;105;90,4;102,8;99,4;104,2
2001.III;105;104,3;106,7;107,8;103,2;100,5;104,4
2001.IV;103,2;105,4;112,7;113,5;105;103,3;104
2002.I;90,9;96,1;102,1;95,9;101,5;99,8;101,2
2002.II;97,5;103,2;102,8;93,3;102,9;102,8;103,4
2002.III;101,8;109,2;106,5;110,9;104,1;105,6;103,3
2002.IV;100,3;107,3;113,6;115,1;106,9;109,7;102,9
2003.I;93,5;87,4;98,9;90;104,4;97,8;100,7
2003.II;98,2;96,5;101,4;86,5;104,2;97,9;103,7
2003.III;100,9;102,9;102,1;102,7;102,9;101;104,1
2003.IV;105,8;104,2;106,6;107,9;104;103,1;104,4
2004.I;101,4;98,4;97,9;94,3;101,2;96,5;104,9
2004.II;107,8;105;101,7;102,3;104,4;101,6;103,5
2004.III;113,6;108;104,9;105,2;107,6;105,5;104,1
2004.IV;114,3;110,3;112,8;113,5;108,8;111;103,9
2005.I;95,9;98,3;100,9;99,8;102,3;99;100,1
2005.II;103,5;104,5;105;100,9;103,2;103,2;101,9
2005.III;105,6;104,7;106;110;104,4;107,1;101,6
2005.IV;107,5;107;111,3;112,5;106,8;110,1;100,6
2006.I;98,3;98,6;96,4;104,2;101,4;98,5;102,6
2006.II;102,5;101,6;97,8;107,7;103,5;101,7;104,4
2006.III;107,4;103,5;102,9;111,2;106;105,5;104,4
2006.IV;111,7;106,3;105,9;109,7;107,8;109,4;104,3
2007.I;100,1;99,2;101,1;107,5;103,8;99,6;101,7
2007.II;107;104;103,7;111,6;105,8;101,9;102,9
2007.III;111,3;105,8;106,1;116,9;106,9;104,5;102,5
2007.IV;114,6;111,3;114,7;124,5;107,5;108,3;101,6
2008.I;99,6;102,7;103,8;109,2;100,6;99,7;99,2
2008.II;106,2;109,5;107,1;112,3;101,3;103,8;101,2
2008.III;112,3;111,9;110,5;115,4;102,4;107,1;101,3
2008.IV;103,2;106,2;117,6;116,1;101,2;108,4;100,9
2009.I;87,5;88,8;96,9;104,7;100,9;98,2;101,6
2009.II;95,2;93;98,6;106,9;102,1;100,7;103,6
2009.III;102,7;98,3;99,9;109,7;103,5;105;104
2009.IV;105,2;102,4;104,7;114,1;105,4;108,1;104,5
2010.I;103,9;105;99,8;104,1;102,7;97,9;100,7
2010.II;109,2;110,2;103,5;105,9;104,5;101;102,6
2010.III;115,5;114,3;106,2;110,7;105,5;105,1;102,8
2010.IV;116;115,3;111,9;116,6;106,8;109;102,8
2011.I;97,6;100,7;100,5;102,9;101,6;100,1;100,8
2011.II;102,3;103,7;105,2;104,4;101,2;103,8;102,6
2011.III;104,4;106,2;107;107,1;101,8;106,4;102,3
2011.IV;104,9;106,5;113,2;110,4;103,2;108,3;102
2012.I;96;96,5;100,8;100,2;102,4;98,6;100,3
2012.II;101;99,6;103,5;100,3;105;101,7;102,6
2012.III;106;107,2;108,2;100,9;106;104,9;101,4
2012.IV;106,5;104,8;115,5;104,8;107;109,3;101,1
2013.I;97,2;95,3;99,2;99,2;104,4;96,9;100,5
2013.II;102,7;103,7;102,2;102,3;104,7;99,6;102,6
2013.III;106,6;106,9;102,2;102,5;105,1;103,2;103,2
2013.IV;107,3;104,7;112,4;103,2;106,2;106,7;102,5
2014.I;98,1;97,5;101,7;98,9;100,9;99,1;98,6
2014.II;97,7;99;103,7;98,8;100,2;101,2;100,9
2014.III;102,4;105,5;104,6;98,8;100,2;102,8;100,8
2014.IV;104;103,9;111;101,3;101,6;104,4;100,1
2015.I;93,6;93,9;99,5;98,8;100;95,4;98,9
2015.II;91,8;94,5;97,7;98,2;99,1;96,4;100,6
2015.III;93,3;98,9;97,4;97,9;99,2;95,7;101,1
2015.IV;92,2;95,4;101,7;100,3;100,1;97,7;100,4
2016.I;90,5;92,2;96,3;97,7;100,3;96,6;99,1
2016.II;91,9;94,6;96,7;96,3;100;98,2;101,2
2016.III;95,5;97;98,4;95;99,6;99,4;101,3
2016.IV;95,6;93,9;100,4;97,4;100,8;100,4;99,5
2017.I;95,2;96,2;99,4;97,1;99,7;96,6;98,5
2017.II;99,7;99,6;99;98,2;100,9;100,2;100,7
2017.III;106,8;104,9;100,2;97,8;101,8;102,1;101,1
2017.IV;107,6;103,2;107;102,4;102,9;103,8;100
2018.I;98,6;97,9;97,6;99,1;101,3;99,4;99,2
2018.II;99,9;99,7;100,1;100,7;102,8;102,6;100,9
2018.III;106,3;106,9;101,2;100,8;104;105;100,8
2018.IV;105,7;104,1;108,4;103,4;105,2;107;99,5
2019.I;96,4;97,6;100,2;99,4;101,3;99;98,9
2019.II;98,8;98,7;101,8;98,8;102,6;101,7;100,2
2019.III;105,8;103,5;104;101,1;102,9;103,3;99,8
2019.IV;105,5;100,4;111,8;105,1;103;107,1;99,5
2020.I;96,6;93,2;99,5;98,6;100,3;95,7;99
2020.II;84,6;75,1;96,3;102,6;101;80,9;91,7
2020.III;104,7;87,7;100,3;104,9;102,2;89,4;94,7
2020.IV;108,3;93,2;112,2;107;103,4;97;96,5
